digit,type,correlation
1,Clean,0.975688323509856
1,Clean,0.9731712628185503
1,Clean,0.9746578413743853
1,Clean,0.9759761114465886
1,Clean,0.9744440659301574
1,Clean,0.9731938579869893
1,Clean,0.9750435247051047
1,Clean,0.9762339558955764
1,Clean,0.9747477305518237
1,Clean,0.9721116895069705
1,Clean,0.9752153940876521
1,Clean,0.9693021001238636
1,Clean,0.9734069474615692
1,Clean,0.9744910867763406
1,Clean,0.9676721138089327
1,Clean,0.9738859016339152
1,Clean,0.9725164835201162
1,Clean,0.9748245509141478
1,Clean,0.9754296039890755
1,Clean,0.9696267270746549
1,Clean,0.9727102318634913
1,Clean,0.972006796742313
1,Clean,0.9712404964860063
1,Clean,0.9725730064685227
1,Clean,0.9716772578640898
1,Clean,0.9739889363015112
1,Clean,0.9726919192216293
1,Clean,0.9727651906605269
1,Clean,0.9733738440391362
1,Clean,0.9751118309721067
1,Clean,0.9724749651123221
1,Clean,0.9716782533352605
1,Clean,0.9768347151943175
1,Clean,0.9766713482158673
1,Clean,0.9743502169325458
1,Clean,0.9715460039870367
1,Clean,0.9748183978339416
1,Clean,0.9732835517785029
1,Clean,0.9717892374594743
1,Clean,0.9727364242779124
1,Clean,0.9715742036590725
1,Clean,0.9714985060052322
1,Clean,0.9752184948471871
1,Clean,0.9743345753722238
1,Clean,0.9747437155136924
1,Clean,0.9754845598151937
1,Clean,0.9719288863278182
1,Clean,0.9751930275699934
1,Clean,0.9776763436815512
1,Clean,0.9760975731849216
1,Clean,0.9742904305866255
1,Clean,0.9709606066840175
1,Clean,0.9722895368645377
1,Clean,0.9728358392788935
1,Clean,0.9740196660554725
1,Clean,0.9725524811625293
1,Clean,0.9744194632323805
1,Clean,0.9739571426958608
1,Clean,0.9697748778899917
1,Clean,0.972789219902078
1,Clean,0.9758326708268541
1,Clean,0.9703882707695318
1,Clean,0.9693839125446128
1,Clean,0.9718381408894823
1,Clean,0.9727899616506391
1,Clean,0.9721353649458979
1,Clean,0.9731215343795633
1,Clean,0.9771857337489152
1,Clean,0.9733129494071022
1,Clean,0.9750340815278571
1,Clean,0.969743116946853
1,Clean,0.9756103007222492
1,Clean,0.9685256732845521
1,Clean,0.9760379942291034
1,Clean,0.9750307530858036
1,Clean,0.9740830862435828
1,Clean,0.9732545183458545
1,Clean,0.9749606177991919
1,Clean,0.9725932491891793
1,Clean,0.9764858239536014
1,Clean,0.9739120817993137
1,Clean,0.9739651808607743
1,Clean,0.9722574106862535
1,Clean,0.9732471822576473
1,Clean,0.9737010075613702
1,Clean,0.9718025187719547
1,Clean,0.969290937965826
1,Clean,0.9742001552418847
1,Clean,0.97459113651342
1,Clean,0.9732103850148339
1,Clean,0.9723153769163465
1,Clean,0.9763999899095587
1,Clean,0.9771757528321845
1,Clean,0.9757687745734217
1,Clean,0.9717644690722287
1,Clean,0.9726112427666616
1,Clean,0.9713282331473578
1,Clean,0.9758353542767289
1,Clean,0.9709370340916812
1,Clean,0.9725768102743406
1,Clean,0.973946180190486
1,Clean,0.9708030978720704
1,Clean,0.9758895353576215
1,Clean,0.9689487331420523
1,Clean,0.9724221714652574
1,Clean,0.9739585297557156
1,Clean,0.9726155824623011
1,Clean,0.9742745764412115
1,Clean,0.9712709965422236
